Country,Year,Total - all NACE activities,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers,Activities of extraterritorial organisations and bodies,GHG
Luxembourg,2013,6563498.0,67800.0,5700.0,1444803.0,772700.0,12500.0,129600.0,270500.0,3367700.0,32300.0,43300.0,164754.0,30000.0,40000.0,36600.0,37300.0,39700.0,44900.0,12800.0,10541.0,0.0,0.0,CO2
Hungary,2013,35292390.99,1998776.53,196947.95,9195707.91,12569053.76,220835.91,759185.6,1577299.19,5283735.02,104034.22,375900.33,252125.59,503582.38,365674.22,463872.89,696322.94,239138.32,269812.21,70214.71,150171.31,0.0,0.0,CO2
Malta,2013,2437074.88,17153.59,6252.01,71834.11,1694647.14,18144.23,33143.5,57532.31,421466.94,31925.29,4166.5,195.7,7510.82,14153.8,6702.21,11057.05,2111.26,21339.57,2571.55,15167.29,0.0,0.0,CO2
Netherlands,2013,147784062.38,10221271.59,2434575.79,42418656.61,44793690.96,3411136.19,3371425.91,4350385.87,26565789.54,1123387.32,298809.51,467334.89,355345.08,691389.01,2433474.23,1171209.69,725622.95,1782263.63,619693.6,548600.02,0.0,0.0,CO2
Austria,2013,46755719.22,900268.2,725980.61,26408782.81,8048779.74,212406.52,1295130.93,1066038.19,6291049.47,213682.67,70835.52,30457.76,21634.1,189511.05,338279.76,507920.12,54183.25,253242.79,67388.53,60147.22,0.0,0.0,CO2
Poland,2013,278009522.57,20761577.33,1517706.19,61434115.68,157813343.77,610284.65,619940.72,6502079.38,15168416.08,420188.5,1277433.49,634472.55,633134.89,3494036.36,777712.6,1852029.18,1270860.72,1238340.84,878922.6,1104927.03,0.0,0.0,CO2
Portugal,2013,42672275.82,1648500.0,229800.0,15148200.0,12324900.0,1360900.0,957500.0,1416500.0,7926530.16,121000.0,54200.0,100600.0,13700.0,104600.0,209600.0,430545.66,81400.0,433200.0,56400.0,54200.0,0.0,0.0,CO2
Romania,2013,65715183.04,1316189.03,1032872.88,22577806.65,27916674.64,593459.41,3213799.05,1346330.48,4660429.0,150485.59,258949.7,197928.08,425601.56,469390.09,334359.99,372137.55,213026.14,280444.92,82708.34,272589.93,0.0,0.0,CO2
Slovenia,2013,11106571.61,255317.74,99210.95,2530896.08,5838212.67,52410.66,411173.7,320804.42,892893.81,103502.04,35837.49,42283.96,47489.69,134098.22,79769.97,14982.16,74861.18,83365.55,43300.25,46161.08,0.0,0.0,CO2
Slovakia,2013,28527684.46,200686.85,65955.0,14784064.37,6865697.49,103941.02,1774506.98,242529.92,2751981.08,135386.74,15284.72,4167.48,212163.65,436386.51,180941.23,276675.55,90564.97,151678.2,109092.21,125727.09,0.0,253.39,CO2
Finland,2013,49154693.73,2114482.8,416128.98,13793072.48,19120989.46,394602.58,1480812.65,139407.05,9991383.93,14211.36,38719.27,225608.05,99667.31,28493.27,321221.69,539257.77,69318.69,155271.69,114404.73,97639.97,0.0,0.0,CO2
Sweden,2013,38474528.66,2438724.05,891158.99,14177406.44,7270967.54,313422.87,1929498.07,1585189.0,7528102.97,79223.41,133541.38,83409.19,199033.47,462477.0,521909.66,138596.17,121852.06,312027.65,158923.89,129045.59,12.22,7.03,CO2
Iceland,2013,4179345.72,511687.55,960.29,1776532.88,179010.72,8690.98,124024.2,28033.83,1318216.64,2520.19,2343.22,191609.19,3224.57,3461.45,9101.15,10480.03,692.48,1850.94,4139.96,1292.51,0.0,1472.94,CO2
Norway,2013,54324391.23,1142683.98,14972855.21,11814952.47,609783.7,757273.63,2163868.2,1275946.07,20458243.69,63223.35,32248.58,403.37,128686.74,157807.09,180664.64,402902.53,14235.09,66603.93,18380.1,62558.94,1069.92,0.0,CO2
Switzerland,2013,28687233.25,886273.43,70593.1,8693199.98,596515.3,2362382.38,1335852.54,1901633.72,7528059.7,744576.91,172732.69,347851.57,155621.71,622239.96,283598.24,1534239.78,87177.88,852740.42,152714.07,359229.87,0.0,0.0,CO2
Serbia,2013,44328973.53,567562.27,613159.21,7396719.36,34320619.89,17452.87,114042.32,307827.89,216288.02,39746.38,46591.96,101093.88,6724.06,84863.39,87641.96,123956.04,106035.27,127498.57,21861.66,29288.55,0.0,0.0,CO2
Türkiye,2013,265510720.0,3353684.0,1169015.0,116983802.0,108295142.0,206547.0,3727953.0,7665290.0,17469904.0,1670696.0,135907.0,259108.0,371289.0,456081.0,442655.0,1354146.0,739211.0,611969.0,85366.0,483790.0,19845.0,9320.0,CO2
European Union - 27 countries (from 2020),2014,2536317400.84,102679161.75,25788117.11,771744893.65,959440244.46,33752323.94,48326509.8,66328039.6,388629041.51,15352633.03,5958130.36,5044973.71,4955383.1,14939596.05,20693445.24,21498028.7,13312716.91,20968175.71,5935639.11,10811041.78,159010.23,295.09,CO2
Belgium,2014,69202786.13,2075140.84,565616.04,33239452.6,15075467.78,706416.71,2308184.87,2504976.13,6032904.58,589089.25,266029.63,269128.5,68594.59,865004.68,1652855.66,1020912.57,458731.36,716170.7,316479.98,403801.43,67828.23,0.0,CO2
Bulgaria,2014,44482999.13,818555.74,240509.77,6962202.06,28671644.96,94716.75,516355.13,543076.56,6066259.69,56634.4,30925.88,23523.28,33483.27,51376.19,94762.23,53104.78,146974.82,36020.62,19722.17,23150.83,0.0,0.0,CO2
Czechia,2014,85070438.35,1621766.21,4004743.18,18901211.87,48424192.11,619330.47,1219547.23,958808.17,7553689.26,144133.53,87252.58,54230.74,215641.44,159540.38,375331.8,212655.24,153159.67,252441.11,62109.04,50654.31,0.0,0.0,CO2
Denmark,2014,64676052.67,1851007.0,1726144.0,5355800.53,13002764.3,1322339.5,1393879.88,936363.02,37444080.46,112931.68,86722.37,52259.05,123715.97,150890.95,221257.71,370856.43,173985.42,215162.33,70782.53,65109.55,0.0,0.0,CO2
Germany,2014,662356550.91,13689144.61,5115898.98,191470983.84,314152788.3,4644815.94,7326724.21,15521291.67,77679829.94,4967811.34,1349269.28,999082.74,399898.65,3302899.58,2724385.4,4182038.94,4246257.0,5027412.81,414583.68,5141054.97,379.02,0.0,CO2
Estonia,2014,18498406.48,267046.18,78193.85,2382899.88,13357373.34,17921.19,169173.36,192497.93,1547679.93,52459.56,14808.11,8761.18,73337.36,48423.72,63667.61,104330.71,33149.81,21502.42,29872.11,35247.89,60.38,0.0,CO2
Ireland,2014,34023275.5,1032893.91,55858.88,6449323.75,10591618.69,262061.59,291831.43,706495.7,12979088.87,255727.42,94149.99,30341.33,29271.07,185045.36,111479.25,345929.2,208926.37,203840.8,94119.16,95272.75,0.0,0.0,CO2
Greece,2014,74441473.76,840412.18,57856.94,17966530.73,40784409.44,106547.42,259746.37,845489.18,12807524.23,165377.66,39088.01,9582.24,387.68,72850.43,54814.23,305129.72,27132.09,34462.21,33190.37,30942.64,0.0,0.0,CO2
Spain,2014,200881452.22,15200251.64,2231315.61,70771409.86,61605932.19,2546355.84,4162562.94,5502615.57,29287799.05,2693748.64,166160.98,226968.08,529295.28,631091.94,743078.49,1641260.28,548375.17,1189085.17,536483.77,607897.42,59764.3,0.0,CO2
France,2014,253017054.35,14484905.76,510877.14,94260886.8,24700118.94,9626665.28,8200797.16,9939127.58,60366073.11,2237102.96,903737.07,897458.0,415925.78,1908331.73,7890663.95,5001342.67,3388868.49,5430729.1,1697341.07,1156101.78,0.0,0.0,CO2
Croatia,2014,13118487.3,766457.92,623125.73,5271287.77,3685156.11,987.93,267920.0,371135.03,1382631.27,35353.09,64855.61,49368.66,103971.24,113777.6,89619.67,52748.67,60823.12,67966.45,20856.38,63333.81,27111.25,0.0,CO2
Italy,2014,257962868.18,8437995.71,2932545.66,86575306.71,85981958.81,6505718.71,6189044.82,9655642.17,39159936.17,1661616.52,256595.67,415979.68,436107.37,1003619.15,1030698.79,2334420.03,1105510.87,3169382.69,524518.61,586270.05,0.0,0.0,CO2
Cyprus,2014,5442692.42,68346.08,16122.23,1709981.67,2942652.51,13981.94,79033.94,100328.88,322845.59,45746.61,7750.91,5676.61,1585.7,13230.04,20686.98,60359.51,5644.93,6510.54,4811.73,14371.16,3024.86,0.0,CO2
Latvia,2014,6955643.01,496605.92,44535.87,1303093.23,1682137.3,32234.25,215286.42,192828.16,2609753.41,18788.33,8535.34,5543.4,104578.41,24634.81,53980.0,85757.27,17386.32,44183.99,8163.93,7614.91,0.0,1.73,CO2
Lithuania,2014,12026747.06,469500.33,17454.27,5804662.95,1883469.43,52127.55,194797.46,198899.94,2939252.29,16067.79,13400.6,9342.97,41574.18,71936.71,31155.35,92081.46,108462.62,45753.0,19320.31,16651.95,835.88,0.0,CO2
Luxembourg,2014,6780910.0,67500.0,6400.0,1482733.0,726600.0,19700.0,141800.0,189600.0,3733600.0,22600.0,36300.0,112800.0,25900.0,34000.0,55600.0,27200.0,30000.0,40100.0,20000.0,8477.0,0.0,0.0,CO2
Hungary,2014,35922158.58,2155972.04,200491.58,9782924.13,11786834.97,222965.9,864947.64,1665870.4,5906339.44,106791.02,352098.71,226488.17,449076.28,338152.96,515796.04,655004.18,238236.38,248932.31,67946.93,137289.5,0.0,0.0,CO2
Malta,2014,2427883.48,17841.18,6847.02,79042.94,1655100.95,20941.05,33361.95,58518.53,427862.34,39995.6,4631.26,263.54,8088.35,13860.29,6760.77,12454.96,2257.23,23302.21,2432.29,14321.01,0.0,0.0,CO2
Netherlands,2014,147652569.46,9044913.19,2363662.32,41992270.03,48454865.0,3366657.43,3364107.52,3826546.53,26335338.66,928952.3,281513.0,410074.45,302741.22,664611.87,2293870.75,1024013.38,559387.87,1460572.12,507729.3,470742.52,0.0,0.0,CO2
Austria,2014,44339328.24,901107.91,730330.65,25999261.14,6530849.7,221417.4,1126985.17,945395.0,6229869.93,189979.09,61162.97,25712.09,18533.67,157199.38,320216.98,496696.16,50896.5,196406.95,65900.1,71407.46,0.0,0.0,CO2
Poland,2014,269909388.09,20827781.28,1539840.61,61938240.81,149115971.67,571461.68,541022.03,6400078.27,15734039.04,392033.4,1299680.46,597187.19,622958.27,3529297.03,747272.53,1757423.1,1142960.86,1152288.33,895339.83,1104511.66,0.0,0.0,CO2
Portugal,2014,42545787.25,1565900.0,228500.0,14938600.0,12044300.0,1391900.0,922600.0,1536200.0,8189755.07,180800.0,53600.0,92500.0,13900.0,113800.0,219300.0,429832.18,74700.0,436000.0,59600.0,54000.0,0.0,0.0,CO2
Romania,2014,66203202.38,1304749.83,968078.47,23522235.41,27676145.72,544170.99,3099328.32,1396081.39,4579794.66,153338.68,265498.44,198644.57,427956.58,481111.78,342428.54,379119.17,214482.95,285048.39,84363.35,280625.13,0.0,0.0,CO2
Slovenia,2014,9750627.34,266807.29,84561.49,2573566.47,4489238.49,56154.99,410331.21,325041.91,880202.4,72664.45,36456.38,46705.08,30087.54,143103.62,84826.48,43327.89,64862.21,76814.1,26693.11,39182.23,0.0,0.0,CO2
Slovakia,2014,26665689.06,184187.89,66106.09,14641696.66,6108631.1,95954.69,1905553.05,230370.37,1891699.43,123529.93,21825.33,6425.35,185222.15,389055.52,167329.24,233430.77,78774.58,135236.9,93834.93,106540.85,0.0,284.26,CO2
Finland,2014,44900715.27,1898197.8,439170.14,12368705.22,17918661.01,379594.45,1252136.65,147458.48,8966910.99,12561.65,30308.7,191577.81,85700.1,27263.96,322162.79,447882.76,60918.5,151039.18,104733.49,95731.61,0.0,0.0,CO2
Sweden,2014,37062214.23,2324173.32,933330.61,14000583.59,6391361.64,309184.31,1869451.03,1437303.04,7574281.72,76798.11,125773.08,79349.02,207850.94,445486.36,459444.01,128716.7,111851.77,301811.27,154710.94,130737.35,6.31,9.09,CO2
Iceland,2014,4247572.52,474785.67,901.37,1708386.16,189731.14,11173.08,142784.45,27173.34,1470495.39,2972.56,2354.31,178141.55,3624.38,3736.92,9324.35,10668.0,699.24,1877.03,6165.02,1285.65,0.0,1292.91,CO2
Norway,2014,53786251.34,1156273.88,15801041.35,11423748.07,581956.92,773276.75,2124774.08,1118513.04,19796608.23,62300.74,29781.25,243.21,101401.35,138760.61,174841.12,359165.34,11536.92,50169.76,15461.76,65216.95,1180.02,0.0,CO2
Switzerland,2014,27052658.14,900083.79,70173.04,8312118.62,417433.82,2410540.49,1264629.47,1625349.4,7495728.2,588284.98,169516.63,284248.19,150735.79,486311.02,293948.46,1339983.93,72516.04,724171.35,157639.22,289245.7,0.0,0.0,CO2
Serbia,2014,35919684.58,476646.86,334458.44,6757970.96,27017051.93,17725.16,118204.99,282804.75,210369.02,35013.72,43425.17,107170.63,5817.45,74799.89,83706.91,108501.7,90872.9,108914.07,19077.65,27152.38,0.0,0.0,CO2
Türkiye,2014,280146977.0,4043956.0,1204235.0,119251101.0,118479260.0,215727.0,3750820.0,7878660.0,18565451.0,1689508.0,139969.0,264668.0,398093.0,468752.0,462700.0,1391227.0,728201.0,613771.0,85852.0,485130.0,19997.0,9899.0,CO2
European Union - 27 countries (from 2020),2015,2577802181.6,103016111.92,24926758.54,782507120.69,963441244.53,33299419.62,48049284.87,68105611.58,409064528.12,15694815.35,6510280.06,5274142.4,5118067.07,15861429.37,21271717.53,22352839.18,13876441.06,21957684.22,6195902.59,11105983.79,171972.32,826.79,CO2
Belgium,2015,71895703.31,2338832.47,381546.09,33326193.0,15866160.45,748124.78,2348807.42,2614913.29,6972584.14,651810.99,273571.95,301749.0,72980.15,979115.14,1753691.34,1096972.47,525361.05,777168.43,331168.39,456049.59,78903.15,0.0,CO2
Bulgaria,2015,47144934.25,835832.77,288948.97,7952346.91,29669645.06,104039.98,630534.02,588040.22,6653187.64,50766.58,29732.38,5669.64,31577.64,29884.64,100904.94,71901.46,43640.66,33631.26,10117.28,14151.14,0.0,381.03,CO2
Czechia,2015,83960284.9,1730365.98,4064059.06,18176763.97,47246808.04,623743.93,1201888.84,982668.22,7896814.08,152706.34,390695.93,48485.82,188210.7,177597.38,369339.35,181220.41,153193.83,268802.47,59486.2,47434.35,0.0,0.0,CO2
Denmark,2015,68280862.92,1838062.08,1772312.05,5408809.89,10145419.28,1396472.59,1429580.53,950102.6,43678508.63,118625.47,88971.64,52167.44,129958.65,150538.59,227311.11,345062.32,184656.51,221515.84,74411.19,68376.53,0.0,0.0,CO2
Germany,2015,666026516.21,14513927.54,4962581.78,199119941.76,302403674.28,3987546.22,7421579.88,15779880.84,84469053.26,4827747.84,1356999.99,992052.66,414591.75,3500100.46,2690448.54,4302321.73,4349014.5,5321676.65,415518.23,5197655.97,202.32,0.0,CO2
Estonia,2015,15290103.52,211831.81,71275.67,2259288.0,10331291.88,18039.74,157327.67,196529.04,1585062.22,62937.64,10659.1,5520.57,65837.68,38287.61,51649.92,129193.79,33948.04,22009.37,25995.77,13418.0,0.0,0.0,CO2
Ireland,2015,35807246.72,1032443.89,52289.71,6691519.74,11130645.05,315215.83,282728.35,789034.27,13709748.32,280983.78,134565.11,33879.85,42039.85,205120.09,121097.53,341854.73,224824.42,220279.29,100172.48,98804.42,0.0,0.0,CO2
Greece,2015,70951375.82,923719.53,85398.27,17270627.83,35912010.0,64726.85,233108.53,919645.71,14591118.57,215113.22,32698.98,12342.87,503.81,95658.16,53538.09,368818.89,34013.76,44229.18,39540.79,54562.78,0.0,0.0,CO2
Spain,2015,215782321.67,14117695.11,1127806.04,75121567.98,72135030.55,2600374.57,3714263.77,5802172.02,31541257.21,2638934.65,169171.28,225115.39,518833.9,642359.19,796629.79,1721846.0,538823.51,1159726.67,546295.06,603499.93,60919.07,0.0,CO2
France,2015,253820658.06,14318923.48,512547.8,91035830.1,27753972.04,9715395.31,8241443.57,10291745.99,59536011.41,2359950.4,973452.51,955052.6,438364.52,2057672.14,8200830.86,5089879.92,3723980.09,5613208.8,1800656.74,1201739.78,0.0,0.0,CO2
Croatia,2015,12977202.67,768034.28,489049.61,5038535.47,3707876.44,1022.92,275822.72,402546.21,1435394.03,41172.91,73913.04,59566.63,125435.12,130094.87,100551.72,55456.26,70832.99,78873.22,23626.82,71346.26,28051.14,0.0,CO2
Italy,2015,262962327.13,8565319.72,3012994.92,90162039.38,90249008.94,6521039.68,5999113.89,9241975.73,36084580.03,1762559.19,244332.85,510012.76,418492.08,999293.94,981954.91,2483402.43,1219089.47,3402888.8,520697.11,583531.32,0.0,0.0,CO2
Cyprus,2015,5250016.58,84056.51,13753.99,1524459.79,3025407.4,13674.39,81780.72,109842.83,204169.5,49671.92,8256.59,7823.74,2290.17,15496.56,19953.68,50311.62,6079.72,7281.74,6423.77,15755.17,3526.76,0.0,CO2
Latvia,2015,7251349.11,502200.59,41693.41,1167386.46,1757805.75,33241.61,238226.55,228444.44,2876184.72,22093.75,11732.79,6447.52,109134.86,29777.31,58595.69,91529.82,15703.58,41349.96,10258.99,9539.55,0.0,1.75,CO2
Lithuania,2015,12622365.3,442626.28,17526.71,6134324.21,1752333.91,46714.99,213560.49,220244.71,3350008.87,14012.7,12914.85,12898.4,62115.01,35931.23,60836.92,129230.5,46532.29,40006.34,16270.87,13913.68,362.33,0.0,CO2
Luxembourg,2015,7631415.0,67000.0,9000.0,1451367.0,502200.0,14361.0,164200.0,243000.0,4695100.0,30600.0,43800.0,131423.0,28700.0,43000.0,50800.0,28500.0,45700.0,51700.0,18800.0,12164.0,0.0,0.0,CO2
Hungary,2015,37842948.96,2248104.55,188101.76,10537131.22,12133858.25,199179.94,945840.28,1907838.49,5987163.43,113348.3,364191.57,225229.09,481416.66,378344.84,613064.78,766447.25,261041.12,266023.99,76300.8,150322.63,0.0,0.0,CO2
Malta,2015,1687126.99,17494.77,6284.6,81990.88,886825.45,20136.72,37416.61,59624.85,434022.8,50217.6,4932.35,251.62,8121.6,13905.16,7273.62,12972.88,2226.58,27579.88,1929.68,13919.35,0.0,0.0,CO2
Netherlands,2015,153250033.25,9381743.29,2073896.82,42396606.63,52963564.08,3151583.09,3328320.85,4015570.31,26564043.36,1009413.9,300421.82,431198.22,310426.35,717503.91,2358925.32,1042075.64,580329.7,1566463.14,556855.94,501090.87,0.0,0.0,CO2
Austria,2015,45406103.54,901484.7,687233.92,26504832.85,7531847.12,208510.82,1007645.76,925295.37,5988742.23,189366.64,56521.76,24288.11,21094.61,159460.41,286826.15,515258.25,51439.21,205449.74,67646.27,73159.62,0.0,0.0,CO2
Poland,2015,273372565.64,20573356.57,2365173.93,60828214.26,150851327.01,696854.5,506215.16,6799688.49,16715956.68,405012.97,1413574.42,612432.36,660503.89,3801581.09,803012.46,1828314.62,1160941.54,1191961.71,965229.01,1193214.98,0.0,0.0,CO2
Portugal,2015,46848142.76,1612800.0,256200.0,15352900.0,15595900.0,1438400.0,1076100.0,1521300.0,8246174.57,198900.0,50000.0,90100.0,13200.0,112200.0,223300.0,434468.19,70000.0,444000.0,57300.0,54900.0,0.0,0.0,CO2
Romania,2015,64824876.91,1422317.66,995548.62,21530469.1,27805708.43,575605.76,3193236.57,1388802.92,4821552.41,152680.56,264254.87,196181.41,422883.45,478768.39,341268.67,375348.31,212341.1,283242.41,84295.14,280371.13,0.0,0.0,CO2
Slovenia,2015,9923024.34,265002.47,88130.07,2475031.98,4608559.86,64828.32,435879.77,343389.89,911962.6,81202.11,39494.8,51075.14,31134.91,155997.51,91420.68,48294.24,72425.75,87706.27,28978.01,42509.95,0.0,0.0,CO2
Slovakia,2015,27806964.93,208689.64,63436.32,14576105.33,6365188.25,105627.49,1913950.92,315942.29,2600141.71,125379.61,31716.76,9027.79,194086.69,420714.07,205214.91,236341.6,82036.1,144007.05,97099.05,111833.55,0.0,425.8,CO2
Finland,2015,41641665.25,1800209.19,387977.31,12054318.13,15041860.86,326401.03,1041243.16,55532.38,9438916.31,11067.76,9613.77,191081.8,125864.96,52494.27,230548.84,477104.71,55977.61,137828.75,106514.35,97110.07,0.0,0.0,CO2
Sweden,2015,37544045.87,2294037.05,911991.09,14328518.83,6067316.16,308557.55,1929468.84,1411840.45,8077069.4,78538.51,120088.96,83068.98,200268.07,440532.42,472727.7,128711.12,112287.89,299073.25,154314.67,125609.17,7.55,18.21,CO2
Iceland,2015,4495222.77,488270.41,1129.98,1788399.55,169176.7,10889.76,147383.71,28425.28,1651664.38,3488.26,2292.45,166976.86,4197.42,4004.46,9842.35,10970.44,722.34,1919.78,2743.36,1428.01,0.0,1297.27,CO2
Norway,2015,60809261.77,1157767.12,16202533.69,11756632.8,575885.36,812636.75,2190644.01,1111620.92,26078868.16,62686.37,27814.19,197.96,95965.62,122032.5,201105.44,280767.96,10695.55,53061.95,13723.35,53673.54,948.56,0.0,CO2
Switzerland,2015,26746007.98,958743.43,72600.28,7469940.97,520382.95,2493745.52,1233482.51,1657216.02,7851328.25,573201.24,141264.47,244724.99,68802.35,493338.85,291544.23,1368162.51,70561.64,748701.32,193534.34,294732.09,0.0,0.0,CO2
Serbia,2015,43665398.04,500347.27,392476.01,7997845.95,33371317.66,15208.69,132533.38,307296.07,213864.14,46918.04,47508.04,73311.88,4613.55,81164.07,81739.82,122553.08,98043.57,123653.92,24524.23,30478.65,0.0,0.0,CO2
Türkiye,2015,310123230.0,9823975.0,1172442.0,127184832.0,119519473.0,220856.0,3619729.0,12952156.0,23055570.0,3356699.0,225042.0,468856.0,408011.0,774220.0,623768.0,2305613.0,1808070.0,1347694.0,177198.0,1028283.0,40521.0,10222.0,CO2
European Union - 27 countries (from 2020),2016,2574170357.12,103840813.05,24512693.36,784680744.03,941856232.6,34547765.95,48258246.24,68782890.52,421043554.61,15098808.1,6746568.27,5424964.92,5269175.48,16489831.36,21924986.34,22527509.07,13520240.97,21873180.49,6426593.12,11128148.27,216948.67,461.7,CO2
Belgium,2016,71627061.68,2344404.35,407171.63,33524995.74,14604240.28,635727.7,2365075.72,2567895.85,7540585.52,670450.39,273953.44,305765.71,78373.49,1054626.07,1906628.67,1089826.97,512787.82,808619.57,305534.26,504783.35,125615.16,0.0,CO2
Bulgaria,2016,44822120.94,800346.06,255308.59,8562078.38,26178594.91,94156.35,448315.16,606332.39,7430119.54,52308.85,30367.23,6250.59,32609.35,39762.42,96858.77,87705.58,38869.34,35508.53,10273.23,16355.68,0.0,0.0,CO2
Czechia,2016,86095390.75,1780000.71,4123371.02,17982894.43,48717149.29,678556.37,1314486.68,1013497.37,8641611.0,158743.88,94725.4,53736.4,164126.64,189379.41,466601.88,174727.27,151969.05,274090.44,67618.67,48104.83,0.0,0.0,CO2
Denmark,2016,73463290.18,1879469.45,1682487.08,5589718.83,11363305.98,1516446.51,1475835.04,921910.23,47430364.52,114000.27,91476.33,58641.93,111941.92,153360.09,221824.48,342139.53,158335.27,192703.9,94553.28,64775.57,0.0,0.0,CO2
Germany,2016,657452631.59,13072081.41,5106639.83,202065879.22,298235165.99,4191647.94,7368888.52,14829179.1,82678856.79,4353546.66,1251932.49,777807.05,387563.98,3469488.32,2289206.26,3910349.42,3638988.73,4549792.86,323098.25,4952381.45,137.33,0.0,CO2
Estonia,2016,16962030.11,227959.51,79741.72,1633678.51,12845119.22,26433.78,190560.36,139097.41,1570746.5,15345.28,9655.21,4714.05,55258.76,31558.9,58910.6,27475.28,16227.14,8050.1,8510.75,12987.03,0.0,0.0,CO2
Ireland,2016,39796178.43,1097461.4,56088.39,6882847.75,11870577.67,289199.03,296966.37,859736.64,16530426.16,242430.52,117036.97,33148.54,49545.96,212443.34,155997.42,367910.66,234169.17,237117.69,122394.58,140680.19,0.0,0.0,CO2
Greece,2016,68985864.96,882377.48,89421.09,18082390.12,31759638.99,88116.82,253722.62,879499.57,16046105.51,200876.17,35352.88,13379.48,621.89,91030.73,57902.74,338530.64,31404.76,47215.49,41832.53,46445.46,0.0,0.0,CO2
Spain,2016,204417582.29,14016577.87,1515540.29,76230727.36,56813253.53,2771289.62,3953389.21,6326086.51,32815108.61,2748749.48,178888.34,231795.37,537377.41,679587.27,836552.14,1734736.76,570011.19,1223265.96,563380.66,612089.61,59175.12,0.0,CO2
France,2016,253953753.32,13613735.0,552329.92,90719587.4,31418425.0,9766298.41,8324723.15,10297938.52,57796885.49,2349778.73,990804.84,973892.07,437891.05,2121483.7,8071900.24,4406116.85,3720828.1,5387994.4,1823382.12,1179758.31,0.0,0.0,CO2
Croatia,2016,13042454.5,779637.01,441653.76,4785849.44,4000090.51,1032.82,275903.95,413010.89,1459724.73,42409.68,76319.57,61893.36,130077.47,134218.9,103431.68,56932.31,73275.97,81516.53,24337.59,73197.14,27941.17,0.0,CO2
Italy,2016,260583343.72,8744523.82,2750475.76,87634165.46,89816866.0,6712899.96,5856811.66,9100070.57,35647015.7,1557711.44,234427.43,506680.49,392564.66,1021608.8,956399.58,2980928.47,1375360.97,4162021.33,589125.19,543686.45,0.0,0.0,CO2
Cyprus,2016,5594924.22,80926.77,14292.47,1526718.58,3302368.36,15587.47,94954.79,115635.35,254210.73,49043.12,7915.05,7338.4,2598.61,17353.41,19161.97,47086.02,6286.43,6351.46,6841.94,16696.69,3556.61,0.0,CO2
Latvia,2016,7083570.54,555549.46,50007.13,990113.57,1835839.55,37415.59,210570.94,227998.04,2754519.07,17713.05,12367.84,6952.31,120212.54,36447.07,52128.0,95759.23,16732.9,42154.36,9898.99,11189.25,0.0,1.66,CO2
Lithuania,2016,12296092.3,632866.76,16830.28,5445591.54,1500339.29,45871.37,144648.93,233663.93,3707396.72,17722.15,30858.03,22386.7,89375.63,44106.08,80456.89,137679.99,52952.74,49053.56,22467.33,21341.67,482.69,0.0,CO2
Luxembourg,2016,7474114.0,76400.0,7500.0,1479019.0,288600.0,12742.0,149800.0,214600.0,4698000.0,34200.0,41400.0,160062.0,28400.0,39800.0,53300.0,34700.0,59900.0,60400.0,19600.0,15691.0,0.0,0.0,CO2
Hungary,2016,37505459.54,2337654.17,194551.69,10595678.36,11893994.75,175458.32,966034.42,1826780.38,5866721.34,106687.11,338792.65,206484.42,484477.31,372456.24,648383.77,745373.51,259112.9,264843.0,75675.04,146300.18,0.0,0.0,CO2
Malta,2016,1345031.45,19393.44,5885.26,77166.36,578687.98,20475.26,37826.19,56031.57,408646.97,53381.26,4656.93,296.39,3714.98,13805.12,7207.6,12645.54,2379.07,31718.32,448.85,10664.36,0.0,0.0,CO2
Netherlands,2016,152738166.97,9245236.11,1882819.06,43716342.85,51830277.0,3287969.5,3452572.44,4061010.8,25667546.47,1026008.42,285517.53,444844.66,308019.13,724928.31,2547936.54,979963.39,660247.23,1588210.15,538535.86,490181.53,0.0,0.0,CO2
Austria,2016,44618393.29,926842.97,672134.18,26256598.05,7338948.85,235224.63,935744.06,799249.81,5876066.0,173741.66,43957.08,24540.82,25173.69,169551.67,260463.1,546565.16,52232.62,137396.61,68847.29,75115.05,0.0,0.0,CO2
Poland,2016,284120185.6,23026630.54,2027796.68,61341693.57,150817986.8,1045918.61,542833.74,8173741.94,19604032.45,437521.33,2066960.47,954402.15,780904.54,4177274.35,1424116.55,2625408.29,1261128.86,1233435.8,1168044.72,1410354.21,0.0,0.0,CO2
Portugal,2016,44624918.1,1625100.0,244200.0,14167200.0,14501200.0,1594900.0,1027600.0,1500500.0,8233050.44,204700.0,50600.0,81200.0,13600.0,114100.0,227100.0,381267.66,76100.0,469500.0,60400.0,52600.0,0.0,0.0,CO2
Romania,2016,63038788.28,1520631.67,908594.52,21687631.19,25350262.12,498349.73,2996423.0,1469668.91,5384299.59,159169.07,277040.34,201725.8,435499.5,501794.04,358071.95,392102.14,219431.13,294903.68,88128.25,295061.67,0.0,0.0,CO2
